lp,src,mt,ref,score,raw,annotators,domain
en-tr,"Spanning the middle ages to the Edwardian era, A Castle in England documents the families that lived in Scotney, with each story illustrated by a different, upcoming UK artist - Isaac Lenkiewicz, Briony May Smith, William Exley, Becky Palmer and Isabel Greenberg.","Orta çağları Edward dönemine yaymak için İngiltere'deki bir Kale, farklı bir İngiliz sanatçı olan Isaac Lenkiewicz, Briony May Smith, William Exley, Becky Palmer ve Isabel Greenberg tarafından resmedilen her hikaye ile Scotney'de yaşayan aileleri belgeliyor.","Edward devrinden Orta Çağ'a kadar uzanan İngiltere'de Bir Kale, her hikaye Birleşik Krallık'tan adı geçen farklı bir sanatçı (Isaac Lenkiewicz, Briony May Smith, William Exley, Becky Palmer ve Isabel Greenberg) tarafından resmedilmek üzere Scotney'de yaşamış aileleri belgeliyor.",-0.125000067536969,47.0,3,news
en-tr,"Aksigorta, Anadolu Sigorta and Gunes Sigorta are trading on Borsa Istanbul.","Aksigorta, Anadolu Sigorta ve Güneş Sigorta, Borsa İstanbul'da işlem görmektedir.","Borsa İstanbul'da Aksigorta, Anadolu Sigorta ve Güneş Sigorta işlem görüyor.",0.748966845761089,76.0,1,news
en-tr,"""What?!,"" Rascona asked.","""Ne?!"" Diye sordu Rascona.","Rascona ""Ne?!"" diye sordu.",1.03605381732369,86.0,1,news
en-tr,For 15–20 minutes security set up a blockade between us.,15-20 dakika boyunca güvenlik aramızda bir abluka kurdu.,15-20 dakika boyunca güvenlik set çekti aramıza.,0.289627691260929,60.0,1,news
en-tr,When you were young they didn’t want you because they didn’t like your rankings in Cuba.,"Gençken, seni istemediler çünkü Küba'daki sıralamanızı beğenmediler.",Gençken Küba'da derecelerini beğenmedikleriniiçin seni istemediler.,-0.0223569314681314,48.0,1,news
en-tr,"""We need to do everything over the next few months to normalize this situation.","""Bu durumu normalleştirmek için önümüzdeki birkaç ay boyunca her şeyi yapmalıyız.","""Gelecek birkaç ay zarfında bu durumu normalleştirmek için her şeyi yapmalıyız.",1.22623880039538,100.0,2,news
en-tr,"According to the collective labor agreement signed, ground personnel who are members of the IZDENIZ union will receive a 12% salary increase.","İmzalanan toplu iş sözleşmesine göre, İZDENİZ birliği üyesi olan yer personeli,% 12 maaş artışı alacak.",İmzalanan toplu iş sözleşmesine göre İZDENİZ bünyesindeki kara personelinin maaşına yüzde 12 oranında zam yapılacak.,0.850538067584469,73.0,1,news
en-tr,"A source close to the government said: - ""According to scholars, Mehmet Görmez did not look out for orthodox followers of the sunnah!""","Hükümete yakın bir kaynak şöyle demişti: - “Bilim adamlarına göre Mehmet Görmez, sünnetin ortodoks takipçilerine bakmadı!”","İktidara yakın kaynak dedi ki: - ""Geleneksel ulemaya göre, Mehmet Dönmez ehli sünnete sahip çıkmadı!""",-1.33309652723575,28.0,1,news
en-tr,"When we look at it from 200 years of historical cooperation between Turkey and Germany, I think this result will make an important contribution to Turkey-Germany relations.","Türkiye ile Almanya arasındaki 200 yıllık tarihi işbirliğinden baktığımızda, bu sonucun Türkiye-Almanya ilişkilerine önemli bir katkı sağlayacağını düşünüyorum.","Türkiye ve Almanya'nın 200 yıllık tarihsel işbirliği açısından da baktığımızda, bu sonucun Türkiye-Almanya ilişkilerine önemli bir katkı sağlayacağını düşünüyorum.",1.72612100140087,100.0,1,news
en-tr,"The newly released trailer sees Pedro Pascal return as Javier Peña, the character enlisting American and Colombian law enforcement to help with the war on drugs.",Yeni çıkan treyler Pedro Pascal'ın uyuşturucuyla savaşmak için Amerikan ve Kolombiya kolluk kuvvetlerine yardım eden karakteri olan Javier Peña olarak geri döndüğünü görüyor.,"Yeni çıkan fragmanda Pedro Pascal, Amerikalı ve Kolombiyalı kolluk kuvvetlerine uyuşturucuya karşı savaşta destek sağlayan karakter olan Javier Peña olarak geri dönüyor.",0.791360089873013,78.0,1,news
en-tr,"Buyukataman said ""These are propaganda aimed at creating an anti-MH perception, but their campaign shall turn against them"".","Büyükada, ""Bunlar bir anti-MH algısı yaratmayı amaçlayan propagandadır, ancak kampanyaları onlara karşı dönecektir"" dedi.","Büyükataman, ""Bunların MHP aleyhinde algı oluşturmaya dönük propaganda ve kampanyaları ters tepecektir"" dedi.",1.06540867634575,85.0,1,news
en-tr,"""These rate estimates include personnel, maintenance and many other sunk costs that are included in annual appropriations.""","""Bu oran tahminleri, yıllık ödeneklerde yer alan personel, bakım ve diğer birçok batık maliyeti içerir.""","""Bu oran tahminleri personel, bakım ve yıllık giderler içerisinde yer alan batık maliyetleri kapsıyor.""",0.673601793604839,76.0,2,news
en-tr,The heat created by such a collision would cause third-degree burns on your body even if you were 100 km away from the collision point.,"Böyle bir çarpışmanın yarattığı ısı, çarpışma noktasından 100 km uzakta olsanız bile vücudunuzda üçüncü derece yanıklara neden olur.",Çarpma sonucu oluşan ısı nedeniyle çarpma noktasından 100 km uzakta olsanız bile vücudunuzda 3. derece yanık meydana gelir.,1.50074965716898,95.0,1,news
en-tr,Yesterday (the day before yesterday) evening we had another example of the same incident with an assault on our cardiovascular surgical physician by a patient’s relative.,"Dün (dünden önceki gün) akşam, aynı olayın bir örneğini, bir hastanın akrabası tarafından kardiyovasküler cerrahi doktorumuza yapılan bir saldırıda gördük.","Bu olayın bir örneğini dün (önceki gün) akşam, kalp damar cerrahi hekimimizin, bir hasta yakını tarafından darp edilmesiyle yeniden yaşamış bulunmaktayız.",0.811582979505467,76.0,1,news
en-tr,It just shows how far we've come.,Sadece ne kadar geldiğimizi gösteriyor.,Bu bizim ne kadar yol aldığımızı gösteriyor.,-0.497569633701616,24.0,1,news
en-tr,"On July 25, 1946, Loy Harrison, a prominent white landowner, paid $600 to bail Malcom out of jail, according to the FBI.","25 Temmuz 1946'da, önde gelen beyaz bir arazi sahibi olan Loy Harrison, FBI'ya göre Malcom'u hapisten kurtarmak için 600 dolar ödedi.","FBI'a göre, 25 Temmuz 1946'da önde gelen beyaz bir toprak sahibi olan Loy Harrison, Malcom'u hapisten çıkarmak için 600$ ödemiş.",1.33247665298748,97.0,1,news
en-tr,"This is a great showcase for this course.""","Bu, bu kurs için harika bir vitrin. ""","Bu saha için harika bir gösterim bu.""",-0.52729130336891,50.0,1,news
en-tr,They are preparing people for such things by scaring them.,İnsanları bu tür şeyleri korkutup onları hazırlıyorlar.,İnsanlara korku sağlayarak böyle şeyleri alıştırıyorlar.,-0.781119694999984,16.0,1,news
en-tr,"Pointing to July inflation coming down to single digits, in line with expectations, Business Investment Economist Muammer Kömürcüoğlu said ""The decrease in the food and garment groups’ prices has had an effect on the modest course of inflation.""","Beklentiler doğrultusunda Temmuz ayı enflasyonu tek haneli rakamlara inen İş Yatırım Ekonomisti Muammer Kömürcüoğlu, ""Gıda ve konfeksiyon gruplarının fiyatlarındaki düşüşün enflasyonun ılımlı seyri üzerinde bir etkisi oldu."" Dedi.","Temmuzda enflasyonun, beklentilere paralel olarak, tek haneye gerilediğine dikkat çeken İş Yatırım Ekonomisti Muammer Kömürcüoğlu, ""Enflasyondaki ılımlı seyirde, gıda ve giyim grupları fiyatlarındaki düşüşün etkisi var.""",-0.0690834517964064,42.0,1,news
en-tr,Bread is just as out of reach.,Ekmek sadece erişilemez.,Ekmek ulaşılamaz.,-1.16669623299293,5.0,1,news
en-tr,"Describing how the MSCI Emerging Markets Index had recorded a 23% increase and that looking at only this ratio, there had been a positive divergence, Ümüt said:","MSCI Gelişen Piyasalar Endeksi'nin% 23'lük bir artış kaydettiğini ve sadece bu orana bakmanın olumlu bir ayrılık olduğunu açıklayan Ümüt, şunları söyledi:","Ümüt, MSCI gelişmekte olan piyasalar (EM) endeksinin yüzde 23 yükseliş kaydettiğini, sırf bu oranlara baktığımızda bile pozitif ayrışmanın olduğunu belirterek şunları kaydetti:",0.878776106711751,88.5,2,news
en-tr,"Stressing that those products being sold are scratching the teeth’s dentin surfaces and colouring the teeth irreversibly, Nukhet Berk said ""Whitening of the teeth can be attained by the chemical materials applied by dentists or by porcelain surfaces stuck onto the teeth’s surfaces like a nail"".","Satılmakta olan ürünlerin dişlerin dentin yüzeylerini çizdiğini ve dişlerin geri dönülemeyecek şekilde renklendirildiğini vurgulayan Nukhet Berk, ""Dişlerin beyazlatılması diş hekimlerinin uyguladığı kimyasal malzemelerle veya dişin yüzeyine tırnak gibi yapışmış porselen yüzeylerle elde edilebilir"" dedi.","Satılan bu tür maddelerin mine yüzeyini çizdiğini, bir daha geri dönüşümü olmayacak şekilde dişlerin renklendiğini belirten Nükhet Berk, ""Dişlerin beyazlatılması, diş hekimleri tarafından uygulanan kimyasal maddelerle veya dişlerin yüzeyine takma tırnak gibi yapışan ince porselen yüzeylerle sağlanabilir"" diyor.",0.630067695522518,75.0,1,news
en-tr,"The US President berated him for publicly denouncing the wall, reportedly saying to him ""You cannot say that to the press.""","ABD Başkanı, duvarın halka açık bir şekilde kınanması için ona yalvardı, bildirildi ki ""Basına bunu söyleyemezsin.""","ABD başkanı duvarı halka açık bir şekilde topa tutan Meksika başkanını azarladı ve söylentiye göre ""Bunu basına söyleyemezsin."" dedi",-0.50181885461788,49.0,1,news
en-tr,"With season three, the DEA has turned their attention towards the richest drug trafficking organisation in the world: the Cali Cartel.","Sezon 3 ile DEA, dikkatlerini dünyanın en zengin uyuşturucu kaçakçılığı örgütü haline getirdi: Cali Kartel.",Üçüncü sezonla birlikte DEA dikkatini dünyadaki en zengin uyuşturucu kaçakçısı örgüte çeviriyor: Cali Karteli,-1.19610163814797,0.0,1,news
en-tr,Interpol was reported to have sent the list to European police forces in May.,Interpol'ün listeyi Mayıs ayında Avrupa polis teşkilatlarına gönderdiği bildirildi.,Interpol'ün de söz konusu listeyi Mayıs ayında Avrupa'daki polis teşkilatlarına ilettiği kaydedildi.,1.56315633280526,94.0,1,news
